run_index,run_id,case_id,teq_k,tint_k,cloud_id,metallicity_xsolar,status,climate_converged,abundance_pressure_bar,CH4_mole_fraction_at_1mbar,CO2_mole_fraction_at_1mbar,CO_mole_fraction_at_1mbar,NH3_mole_fraction_at_1mbar,HCN_mole_fraction_at_1mbar,H2O_mole_fraction_at_1mbar,quench_pressure_co_ch4_h2o_bar,quench_pressure_co2_bar,quench_pressure_nh3_n2_bar,quench_pressure_hcn_bar
0,00_k2_18b_observed_tint025_cloud_free_mh001x,k2_18b_observed,255.0,25.0,cloud_free,1.0,included,True,0.001,0.0005864798029714128,8.867687553452673e-09,1.3798429104116935e-05,6.100425568250318e-05,5.346024968066117e-08,0.0008821850940568644,,,,
1,01_k2_18b_observed_tint025_cloud_free_mh100x,k2_18b_observed,255.0,25.0,cloud_free,100.0,included,True,0.001,0.005345918217946084,0.0016804180519870797,0.048992140111831665,9.710719991967557e-05,4.019207251843938e-06,0.03292967509225456,,,,
2,02_k2_18b_observed_tint025_fully_cloudy_virga_mh001x,k2_18b_observed,255.0,25.0,fully_cloudy_virga,1.0,included,False,0.001,0.0005866303220145197,8.82716870479918e-09,1.3717595735940553e-05,6.107457434524638e-05,5.312536075293645e-08,0.00088228428063526,,,,
3,03_k2_18b_observed_tint025_fully_cloudy_virga_mh100x,k2_18b_observed,255.0,25.0,fully_cloudy_virga,100.0,included,True,0.001,0.008261980212014111,0.0017352153417674694,0.0467948486441886,0.00012138668870714392,4.755650603261472e-06,0.03523061805682314,,,,
4,04_k2_18b_observed_tint050_cloud_free_mh001x,k2_18b_observed,255.0,50.0,cloud_free,1.0,included,True,0.001,0.0005851540492222912,9.233244320137011e-09,1.4532240394088608e-05,6.038761152823576e-05,5.6506548931065444e-08,0.0008813108520213523,,,,
5,05_k2_18b_observed_tint050_cloud_free_mh100x,k2_18b_observed,255.0,50.0,cloud_free,100.0,included,True,0.001,0.004689602103933068,0.002197464596143424,0.04947276948122248,9.495893818798315e-05,4.116427801002821e-06,0.0323887573752627,,,,
6,06_k2_18b_observed_tint050_fully_cloudy_virga_mh001x,k2_18b_observed,255.0,50.0,fully_cloudy_virga,1.0,included,False,0.001,0.0005853006071351472,9.192055708972658e-09,1.4449154682924745e-05,6.045554038467125e-05,5.616108440065323e-08,0.0008814075514114395,,,,
7,07_k2_18b_observed_tint050_fully_cloudy_virga_mh100x,k2_18b_observed,255.0,50.0,fully_cloudy_virga,100.0,included,False,0.001,0.009966276069527066,0.001855905005080652,0.04443238179994816,0.00012726000354599626,2.643121907485627e-05,0.037334408751021314,,,,
8,08_k2_18b_observed_tint100_cloud_free_mh001x,k2_18b_observed,255.0,100.0,cloud_free,1.0,included,True,0.001,0.0005663684939112943,1.645232997848125e-08,3.0444010923432252e-05,5.2229326595050365e-05,1.2461310355707653e-07,0.0008689563664448421,,,,
9,09_k2_18b_observed_tint100_cloud_free_mh100x,k2_18b_observed,255.0,100.0,cloud_free,100.0,included,True,0.001,0.0025299326789788162,0.002036865603706557,0.05126539462908825,7.582040330050576e-05,3.4217479016495445e-06,0.03032064336397991,,,,
10,10_k2_18b_observed_tint100_fully_cloudy_virga_mh001x,k2_18b_observed,255.0,100.0,fully_cloudy_virga,1.0,included,False,0.001,0.0005667165460173487,1.636943104253065e-08,3.0246943456353337e-05,5.2303087188180304e-05,1.2376161994653437e-07,0.0008690353724019256,,,,
11,11_k2_18b_observed_tint100_fully_cloudy_virga_mh100x,k2_18b_observed,255.0,100.0,fully_cloudy_virga,100.0,included,True,0.001,0.004355594762712164,0.0018906030751721708,0.05011708087596135,0.00010684455203311014,5.612889842789187e-06,0.03162498207805852,,,,
12,12_gj_1214b_low_tint025_cloud_free_mh001x,gj_1214b_low,255.0,25.0,cloud_free,1.0,included,True,0.001,0.0005825468000286046,9.99978349609051e-09,1.609668006265099e-05,5.91890477103622e-05,6.303625447859612e-08,0.0008795883008591215,,,,
13,13_gj_1214b_low_tint025_cloud_free_mh100x,gj_1214b_low,255.0,25.0,cloud_free,100.0,included,True,0.001,0.005023163454973148,0.0022468375164073576,0.049220056788452794,9.607925450128982e-05,4.065138333346952e-06,0.03267139362762631,,,,
14,14_gj_1214b_low_tint025_fully_cloudy_virga_mh001x,gj_1214b_low,255.0,25.0,fully_cloudy_virga,1.0,included,False,0.001,0.0005826491750071148,9.968440436315084e-09,1.603204898859998e-05,5.923575827672194e-05,6.276558944209512e-08,0.0008796560193268555,,,,
15,15_gj_1214b_low_tint025_fully_cloudy_virga_mh100x,gj_1214b_low,255.0,25.0,fully_cloudy_virga,100.0,included,True,0.001,0.005914494525691121,0.0021030763996518756,0.048500989323847415,0.00011356880101985706,5.185490396126051e-06,0.03329955314601294,,,,
16,16_gj_1214b_low_tint050_cloud_free_mh001x,gj_1214b_low,255.0,50.0,cloud_free,1.0,included,True,0.001,0.0005810516609628823,1.0469685704270874e-08,1.7072203804995333e-05,5.851011789416091e-05,6.71306223033219e-08,0.0008785985411149717,,,,
17,17_gj_1214b_low_tint050_cloud_free_mh100x,gj_1214b_low,255.0,50.0,cloud_free,100.0,included,True,0.001,0.004339473202204925,0.002143095372302432,0.04975971135460693,9.371769781058312e-05,4.175126027141643e-06,0.03207252244199365,,,,
18,18_gj_1214b_low_tint050_fully_cloudy_virga_mh001x,gj_1214b_low,255.0,50.0,fully_cloudy_virga,1.0,included,False,0.001,0.0005811964162241429,1.04231797786474e-08,1.697511462731885e-05,5.85755840691302e-05,6.672238444095124e-08,0.0008786944294573883,,,,
