run_index,run_id,case_id,tint_k,metallicity_xsolar,cloud,climate_converged,transmission_modulation_ppm,visible_albedo_median,temperature_1bar_k,max_quench_difference_dex,pressure_levels,pressure_max_bar,runtime_seconds
0,00_k2_18b_observed_tint025_cloud_free_mh001x,k2_18b_observed,25.0,1.0,clear,True,154.10053126821205,0.07258442839583665,369.14749891996286,42.582928262328046,61,31.622776601683793,426.5995407477021
1,01_k2_18b_observed_tint025_cloud_free_mh100x,k2_18b_observed,25.0,100.0,clear,True,123.8843105832799,0.0044259677444698125,569.118883160704,39.41046569974874,61,31.622776601683793,710.8441606694832
2,02_k2_18b_observed_tint025_fully_cloudy_virga_mh001x,k2_18b_observed,25.0,1.0,cloudy,False,154.08956457725046,0.07258824048072715,368.948972562974,42.58031093839592,61,31.622776601683793,903.0114538008347
3,03_k2_18b_observed_tint025_fully_cloudy_virga_mh100x,k2_18b_observed,25.0,100.0,cloudy,True,76.47275741886217,0.17703387619685207,517.1606003606969,38.28473704169117,61,31.622776601683793,1435.8115327591076
4,04_k2_18b_observed_tint050_cloud_free_mh001x,k2_18b_observed,50.0,1.0,clear,True,154.12764620352948,0.07256643949535624,369.451590075064,42.606570743504484,61,31.622776601683793,424.18535158317536
5,05_k2_18b_observed_tint050_cloud_free_mh100x,k2_18b_observed,50.0,100.0,clear,True,123.53224006503598,0.004375492258878603,572.7142748092455,39.44553148407232,61,31.622776601683793,760.0327139655128
6,06_k2_18b_observed_tint050_fully_cloudy_virga_mh001x,k2_18b_observed,50.0,1.0,cloudy,False,154.1168327510601,0.07257018315054692,369.25572188993254,42.6040177754568,61,31.622776601683793,844.5203989688307
7,07_k2_18b_observed_tint050_fully_cloudy_virga_mh100x,k2_18b_observed,50.0,100.0,cloudy,False,76.14190693206857,0.3688712440576458,502.95573703496024,39.17942816604038,61,31.622776601683793,1574.6766201490536
8,08_k2_18b_observed_tint100_cloud_free_mh001x,k2_18b_observed,100.0,1.0,clear,True,154.54050278054234,0.07231617625514242,374.2427858302903,42.94323801769319,61,31.622776601683793,403.89413862954825
9,09_k2_18b_observed_tint100_cloud_free_mh100x,k2_18b_observed,100.0,100.0,clear,True,125.09215036832873,0.004264072546115357,623.0115760496407,38.82575213875176,61,31.622776601683793,825.5360413482413
10,10_k2_18b_observed_tint100_fully_cloudy_virga_mh001x,k2_18b_observed,100.0,1.0,cloudy,False,154.53032333812533,0.07232025493409774,374.06426203366084,42.94037010904187,61,31.622776601683793,845.4755327505991
11,11_k2_18b_observed_tint100_fully_cloudy_virga_mh100x,k2_18b_observed,100.0,100.0,cloudy,True,84.81707914800027,0.3280856235865131,536.6813684798924,40.24794257907379,61,31.622776601683793,1515.3514282535762
12,12_gj_1214b_low_tint025_cloud_free_mh001x,gj_1214b_low,25.0,1.0,clear,True,190.10447746924945,0.07544856710595108,373.37226502044695,42.64523772081639,61,31.622776601683793,464.5354514969513
13,13_gj_1214b_low_tint025_cloud_free_mh100x,gj_1214b_low,25.0,100.0,clear,True,151.9377141564809,0.004579459178844716,580.6135449667341,39.76176145947925,61,31.622776601683793,788.9485450303182
14,14_gj_1214b_low_tint025_fully_cloudy_virga_mh001x,gj_1214b_low,25.0,1.0,cloudy,False,190.09971180069175,0.07545025025614271,373.3157234208279,42.643405916964184,61,31.622776601683793,864.0809245035052
15,15_gj_1214b_low_tint025_fully_cloudy_virga_mh100x,gj_1214b_low,25.0,100.0,cloudy,True,91.74084766570313,0.15608809139532165,533.2755355759439,37.78544652375453,61,31.622776601683793,1585.4201062126085
16,16_gj_1214b_low_tint050_cloud_free_mh001x,gj_1214b_low,50.0,1.0,clear,True,190.14830962732313,0.0754277667987909,373.89125413403144,42.67204748376424,61,31.622776601683793,477.22188245598227
17,17_gj_1214b_low_tint050_cloud_free_mh100x,gj_1214b_low,50.0,100.0,clear,True,152.5162538097177,0.004508689213442343,584.8090598154572,39.78849088103227,61,31.622776601683793,718.1369756497443
18,18_gj_1214b_low_tint050_fully_cloudy_virga_mh001x,gj_1214b_low,50.0,1.0,cloudy,False,190.13264508959284,0.07543211918571165,373.6448545814706,42.66950380515019,61,31.622776601683793,866.8982064137235
19,19_gj_1214b_low_tint050_fully_cloudy_virga_mh100x,gj_1214b_low,50.0,100.0,cloudy,True,105.84259802351144,0.3540764303921167,483.2940566313159,42.32435558617388,61,31.622776601683793,1694.6401281310245
20,20_gj_1214b_low_tint100_cloud_free_mh001x,gj_1214b_low,100.0,1.0,clear,True,190.65876537935387,0.0751553400870984,379.0752887772213,42.9815428685401,61,31.622776601683793,406.6996600460261
