run_index,model_name,run_id,star_teff_k,star_radius_rsun,stellar_luminosity_lsun,planet_radius_rearth,gravity_ms2,metallicity_xsolar,c_to_o_xsolar,c_to_o_picaso_tag,kzz_cm2_s,logkzz,cloud_fraction,cloud_model,fsed,insolation_searth,phase_deg,semi_major_au,equilibrium_temperature_k,picaso_tint_k,output_nc,status,author,contact,project,notes,code,picaso_tint_mode,picaso_tint_fixed_k,picaso_tint_floor_k,netcdf_optional_variables,netcdf_strict_optional,source_notebook_reference,planet_class_id,separation_id,climate_key,climate_index,climate_cache_nc,spectrum_index,spectrum_run_id,stellar_spectrum_filename,stellar_spectrum_w_unit,stellar_spectrum_f_unit,separation_notes
0,aurora_cahoy_exact_304,90e95b498d37,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,0.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000000.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,0,90e95b498d37,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
1,aurora_cahoy_exact_304,6292781e06d4,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,10.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000001.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,1,6292781e06d4,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
2,aurora_cahoy_exact_304,1245d85dd9b2,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,20.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000002.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,2,1245d85dd9b2,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
3,aurora_cahoy_exact_304,8948492b29bb,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,30.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000003.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,3,8948492b29bb,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
4,aurora_cahoy_exact_304,a9710e0b3aa5,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,40.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000004.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,4,a9710e0b3aa5,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
5,aurora_cahoy_exact_304,1a7699cf30f5,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,50.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000005.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,5,1a7699cf30f5,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
6,aurora_cahoy_exact_304,fb429ba76bd6,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,60.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000006.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,6,fb429ba76bd6,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
7,aurora_cahoy_exact_304,0a1fc9fbd443,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,70.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000007.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,7,0a1fc9fbd443,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
8,aurora_cahoy_exact_304,8b5245224c3a,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,80.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000008.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,8,8b5245224c3a,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
9,aurora_cahoy_exact_304,f446ce33127b,5772.0,1.0,1.0,11.209,25.0,1.0,1.0,100,1000000000.0,9.0,0.0,none,,1.5624999999999998,90.0,0.8,311.1821139408753,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000009.nc,pending,Daniel Huang,Daniel Huang,Aurora Cahoy Validation,"Cahoy exact validation case with Jupiter and Neptune analog planet classes, four separations with separation-dependent cloud mapping, custom solar spectrum, and 19 reflected-light phases per unique climate.","{""climate"": ""PICASO"", ""cloud"": ""PICASO/VIRGA if available"", ""grid_runner"": ""aurora_grid_factorized"", ""spectrum"": ""PICASO""}",fixed,100.0,100.0,[],False,roadrunner_egp/notebooks/path_a_full_picaso_first_order_simulation.ipynb,jupiter_analog,a08_au,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,9,f446ce33127b,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),clear atmosphere
