spectrum_index,spectrum_run_id,model_name,climate_key,climate_index,climate_cache_nc,phase_deg,output_nc,status,planet_class_id,separation_id,star_teff_k,star_radius_rsun,stellar_spectrum_filename,stellar_spectrum_w_unit,stellar_spectrum_f_unit,planet_radius_rearth,gravity_ms2,metallicity_xsolar,c_to_o_xsolar,cloud_fraction,cloud_model,fsed,insolation_searth,semi_major_au,picaso_tint_k
0,90e95b498d37,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,0.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000000.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
1,6292781e06d4,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,10.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000001.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
2,1245d85dd9b2,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,20.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000002.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
3,8948492b29bb,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,30.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000003.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
4,a9710e0b3aa5,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,40.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000004.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
5,1a7699cf30f5,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,50.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000005.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
6,fb429ba76bd6,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,60.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000006.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
7,0a1fc9fbd443,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,70.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000007.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
8,8b5245224c3a,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,80.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000008.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
9,f446ce33127b,aurora_cahoy_exact_304,fb4b36ebceb7,14,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb4b36ebceb7.nc,90.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000009.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,0.0,none,,1.5624999999999998,0.8,100.0
