window,kind,lo_um,hi_um,f_reflect,Fp_ref_band,Fp_th_band,decision,T_eff,logg,R_p_Rj,a_AU,phase_deg,thermal_source,atmosphere_source,chem_log_mh,chem_c_o,kzz_cgs,fsed
CGI-1,Roman CGI,0.546,0.604,0.003763251002945138,0.011276283677886806,2.985144542108629,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
CGI-2,Roman CGI,0.61,0.71,8.717341268121055e-06,0.02233425732207266,2562.026877209032,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
CGI-3,Roman CGI,0.675,0.785,2.918447288846895e-06,0.015677512172493024,5371.851833135022,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
CGI-4,Roman CGI,0.783,0.867,1.2712112448791143e-07,0.013744813718039612,108123.74439065396,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
Rayleigh-blue,proposal diagnostic,0.35,0.5,3.510043146140913e-06,1.7928286055500662,510769.3090939381,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
Visible-continuum,proposal diagnostic,0.5,0.8,1.2049848956870802e-05,0.11073035603036606,9189.245619810317,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
H2O-0.94,proposal diagnostic,0.9,1.05,2.5846848057171003e-08,0.06995025302002988,2706335.83860254,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
CH4-H2O-1.15,proposal diagnostic,1.1,1.3,7.379744810612812e-09,0.04650380382676457,6301546.283375712,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
H2O-1.4,proposal diagnostic,1.32,1.52,1.2543844693948876e-09,0.001563856199200108,1246712.0212296888,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
CH4-H2O-1.7,proposal diagnostic,1.55,1.8,1.0428967466653012e-09,0.007888859457398128,7564372.479246642,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
K-CIA-2.2,proposal diagnostic,2.05,2.35,1.7080515034586043e-10,0.0011614504043418457,6799855.869636618,False,1000.0,3.3979400086720375,0.13382126671515693,1.0,60.0,picaso,picaso,1.0,1.0,100000000000.0,3.0
