T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision,gravity_code,fsed,fsed_numeric,pt_file,cld_file,egp_irflux_file
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-1,0.03467087794414798,0.07160697234896143,1.9937278733481842,False,31,NC,0.0,SLGRID_T1000_g31_m+000_CO100_NC_full.pt,none,SLGRID_T1000_g31_m+000_CO100_NC_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-2,3.183513080513399e-05,0.11833367245234594,3716.959921060601,False,31,NC,0.0,SLGRID_T1000_g31_m+000_CO100_NC_full.pt,none,SLGRID_T1000_g31_m+000_CO100_NC_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-3,1.055138711259878e-05,0.08755062694033262,8297.459113715766,False,31,NC,0.0,SLGRID_T1000_g31_m+000_CO100_NC_full.pt,none,SLGRID_T1000_g31_m+000_CO100_NC_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-4,3.6379280706902315e-07,0.05187951680048615,142607.26688102962,False,31,NC,0.0,SLGRID_T1000_g31_m+000_CO100_NC_full.pt,none,SLGRID_T1000_g31_m+000_CO100_NC_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-1,0.02125151065951864,0.5133885505805483,23.644355282590176,False,31,1,1.0,SLGRID_T1000_g31_m+000_CO100_fsed1_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed1_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed1_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-2,0.0002623667532882655,3.010726063197314,11472.246811195699,False,31,1,1.0,SLGRID_T1000_g31_m+000_CO100_fsed1_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed1_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed1_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-3,0.00012024644890884575,3.0872553879967395,25671.312413055188,False,31,1,1.0,SLGRID_T1000_g31_m+000_CO100_fsed1_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed1_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed1_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-4,1.983855156773522e-05,2.5595993690053414,129018.92466907886,False,31,1,1.0,SLGRID_T1000_g31_m+000_CO100_fsed1_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed1_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed1_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-1,0.019795860872130342,0.09058139638682025,4.4851931542590435,False,31,3,3.0,SLGRID_T1000_g31_m+000_CO100_fsed3_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed3_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-2,3.468915782374118e-05,0.290051149226692,8361.14526245708,False,31,3,3.0,SLGRID_T1000_g31_m+000_CO100_fsed3_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed3_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-3,1.6362192727465e-05,0.2847031930914174,17399.778835572386,False,31,3,3.0,SLGRID_T1000_g31_m+000_CO100_fsed3_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed3_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-4,1.7654987901568893e-06,0.3429234096293033,194235.64950048196,False,31,3,3.0,SLGRID_T1000_g31_m+000_CO100_fsed3_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed3_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed3_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-1,0.024163886184582494,0.07502874443929645,3.029966199923905,False,31,6,6.0,SLGRID_T1000_g31_m+000_CO100_fsed6_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed6_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed6_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-2,2.4873055739615696e-05,0.15077681058819187,6061.702345162171,False,31,6,6.0,SLGRID_T1000_g31_m+000_CO100_fsed6_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed6_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed6_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-3,9.527977704741408e-06,0.12247102108418993,12853.70914775408,False,31,6,6.0,SLGRID_T1000_g31_m+000_CO100_fsed6_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed6_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed6_IRflux.txt
1000.0,3.4913616938342726,1.0,5.0,60.0,CGI-4,5.309480274722168e-07,0.1041105857492964,196084.2212139758,False,31,6,6.0,SLGRID_T1000_g31_m+000_CO100_fsed6_full.pt,SLGRID_T1000_g31_m+000_CO100_fsed6_picaso.cld,SLGRID_T1000_g31_m+000_CO100_fsed6_IRflux.txt
