T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
500,3.0,1.0,5.0,60.0,CGI-1,0.8156558133032814,1.5576119370478816,0.35203170386456545,True
500,3.0,1.0,10.0,60.0,CGI-1,0.5252020043004968,0.3894029842619704,0.35203170386456545,True
500,3.0,1.0,20.0,60.0,CGI-1,0.2166322829933485,0.0973507460654926,0.35203170386456545,True
500,3.0,1.2,5.0,60.0,CGI-1,0.8643419391300813,2.2429611893489496,0.35203170386456545,True
500,3.0,1.2,10.0,60.0,CGI-1,0.6143267942037417,0.5607402973372374,0.35203170386456545,True
500,3.0,1.2,20.0,60.0,CGI-1,0.28480352670479087,0.14018507433430935,0.35203170386456545,True
500,3.5,1.0,5.0,60.0,CGI-1,0.692491349208946,0.792754639410583,0.35203170386456545,True
500,3.5,1.0,10.0,60.0,CGI-1,0.3601987002329596,0.19818865985264575,0.35203170386456545,True
500,3.5,1.0,20.0,60.0,CGI-1,0.12338090673893663,0.04954716496316144,0.35203170386456545,True
500,3.5,1.2,5.0,60.0,CGI-1,0.7643063172198611,1.1415666807512395,0.35203170386456545,True
500,3.5,1.2,10.0,60.0,CGI-1,0.4477270238357466,0.28539167018780986,0.35203170386456545,True
500,3.5,1.2,20.0,60.0,CGI-1,0.16851996161053648,0.07134791754695247,0.35203170386456545,True
500,4.0,1.0,5.0,60.0,CGI-1,0.7376998834703593,0.9900634065841745,0.35203170386456545,True
500,4.0,1.0,10.0,60.0,CGI-1,0.41283772966974225,0.24751585164604362,0.35203170386456545,True
500,4.0,1.0,20.0,60.0,CGI-1,0.1494983528534845,0.061878962911510904,0.35203170386456545,True
500,4.0,1.2,5.0,60.0,CGI-1,0.8019760660047274,1.4256913054812113,0.35203170386456545,True
500,4.0,1.2,10.0,60.0,CGI-1,0.5030990856281783,0.3564228263703028,0.35203170386456545,True
500,4.0,1.2,20.0,60.0,CGI-1,0.20199081846229588,0.0891057065925757,0.35203170386456545,True
600,3.0,1.0,5.0,60.0,CGI-1,0.6191737076493391,1.0250454682587375,0.6304600152513256,True
600,3.0,1.0,10.0,60.0,CGI-1,0.28899874546315824,0.2562613670646844,0.6304600152513256,True
600,3.0,1.0,20.0,60.0,CGI-1,0.09224334449254262,0.0640653417661711,0.6304600152513256,False
600,3.0,1.2,5.0,60.0,CGI-1,0.7007109487254156,1.476065474292582,0.6304600152513256,True
600,3.0,1.2,10.0,60.0,CGI-1,0.3692096927404264,0.3690163685731455,0.6304600152513256,True
600,3.0,1.2,20.0,60.0,CGI-1,0.12764949680567722,0.09225409214328638,0.6304600152513256,True
600,3.5,1.0,5.0,60.0,CGI-1,0.4342822452326899,0.4839826727117649,0.6304600152513256,True
600,3.5,1.0,10.0,60.0,CGI-1,0.161015041666566,0.12099566817794123,0.6304600152513256,True
600,3.5,1.0,20.0,60.0,CGI-1,0.04578251566749266,0.030248917044485308,0.6304600152513256,False
600,3.5,1.2,5.0,60.0,CGI-1,0.5250396567151187,0.6969350487049414,0.6304600152513256,True
600,3.5,1.2,10.0,60.0,CGI-1,0.21652182117429136,0.17423376217623535,0.6304600152513256,True
600,3.5,1.2,20.0,60.0,CGI-1,0.06462499679279125,0.043558440544058837,0.6304600152513256,False
600,4.0,1.0,5.0,60.0,CGI-1,0.4080844162166426,0.4346581072039121,0.6304600152513256,True
600,4.0,1.0,10.0,60.0,CGI-1,0.14701788483339046,0.10866452680097803,0.6304600152513256,True
600,4.0,1.0,20.0,60.0,CGI-1,0.04130938501483445,0.027166131700244508,0.6304600152513256,False
600,4.0,1.2,5.0,60.0,CGI-1,0.49818829276043747,0.6259076743736336,0.6304600152513256,True
