T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
500,3.0,1.0,5.0,0.0,CGI-1,0.9652155463488934,4.280904085924042,0.1542752914879309,True
500,3.0,1.0,5.0,0.0,CGI-2,0.11141130854485912,6.111280040516981,48.74203889394567,True
500,3.0,1.0,5.0,0.0,CGI-3,0.030035642030119634,4.336265787478197,140.03440500190615,False
500,3.0,1.0,5.0,0.0,CGI-4,0.0009257645465269879,2.075899588960296,2240.2864772681437,False
500,3.0,1.0,10.0,0.0,CGI-1,0.8740096969648216,1.0702260214810104,0.1542752914879309,True
500,3.0,1.0,10.0,0.0,CGI-2,0.030392367184571487,1.5278200101292452,48.74203889394567,False
500,3.0,1.0,10.0,0.0,CGI-3,0.007681959957049651,1.0840664468695493,140.03440500190615,False
500,3.0,1.0,10.0,0.0,CGI-4,0.0002316019432827454,0.518974897240074,2240.2864772681437,False
500,3.0,1.0,20.0,0.0,CGI-1,0.6342729670049102,0.2675565053702526,0.1542752914879309,True
500,3.0,1.0,20.0,0.0,CGI-2,0.0077753246883229534,0.3819550025323113,48.74203889394567,False
500,3.0,1.0,20.0,0.0,CGI-3,0.0019316189538542525,0.27101661171738733,140.03440500190615,False
500,3.0,1.0,20.0,0.0,CGI-4,5.79105449667495e-05,0.1297437243100185,2240.2864772681437,False
500,3.0,1.2,5.0,0.0,CGI-1,0.975584628606152,6.16450188373062,0.1542752914879309,True
500,3.0,1.2,5.0,0.0,CGI-2,0.1529352491625884,8.800243258344453,48.74203889394567,True
500,3.0,1.2,5.0,0.0,CGI-3,0.04268718424979599,6.244222733968604,140.03440500190615,False
500,3.0,1.2,5.0,0.0,CGI-4,0.0013325581475596162,2.9892954081028256,2240.2864772681437,False
500,3.0,1.2,10.0,0.0,CGI-1,0.9090036439126838,1.541125470932655,0.1542752914879309,True
500,3.0,1.2,10.0,0.0,CGI-2,0.043187478081466814,2.2000608145861134,48.74203889394567,False
500,3.0,1.2,10.0,0.0,CGI-3,0.011024757968481479,1.561055683492151,140.03440500190615,False
500,3.0,1.2,10.0,0.0,CGI-4,0.00033347281582819517,0.7473238520257064,2240.2864772681437,False
500,3.0,1.2,20.0,0.0,CGI-1,0.7140702670399007,0.38528136773316374,0.1542752914879309,True
500,3.0,1.2,20.0,0.0,CGI-2,0.01115829343523737,0.5500152036465283,48.74203889394567,False
500,3.0,1.2,20.0,0.0,CGI-3,0.002779169243316126,0.39026392087303774,140.03440500190615,False
500,3.0,1.2,20.0,0.0,CGI-4,8.338905994552077e-05,0.1868309630064266,2240.2864772681437,False
500,3.5,1.0,5.0,0.0,CGI-1,0.9422801802277472,2.5185551521388954,0.1542752914879309,True
500,3.5,1.0,5.0,0.0,CGI-2,0.08054020956094342,4.269565746938708,48.74203889394567,False
500,3.5,1.0,5.0,0.0,CGI-3,0.023850813917378307,3.4215410752271636,140.03440500190615,False
500,3.5,1.0,5.0,0.0,CGI-4,0.0009109656787504448,2.0426849072029807,2240.2864772681437,False
500,3.5,1.0,10.0,0.0,CGI-1,0.8031987235362924,0.6296387880347238,0.1542752914879309,True
500,3.5,1.0,10.0,0.0,CGI-2,0.021429505008356067,1.067391436734677,48.74203889394567,False
500,3.5,1.0,10.0,0.0,CGI-3,0.006071307702021625,0.8553852688067909,140.03440500190615,False
500,3.5,1.0,10.0,0.0,CGI-4,0.00022789712453166188,0.5106712268007452,2240.2864772681437,False
500,3.5,1.0,20.0,0.0,CGI-1,0.5050281624660024,0.15740969700868096,0.1542752914879309,True
500,3.5,1.0,20.0,0.0,CGI-2,0.005444887179907844,0.26684785918366927,48.74203889394567,False
500,3.5,1.0,20.0,0.0,CGI-3,0.0015247699360980385,0.21384631720169772,140.03440500190615,False
500,3.5,1.0,20.0,0.0,CGI-4,5.6984021003813735e-05,0.1276678067001863,2240.2864772681437,False
500,3.5,1.2,5.0,0.0,CGI-1,0.9591971681270198,3.6267194190800094,0.1542752914879309,True
500,3.5,1.2,5.0,0.0,CGI-2,0.11200857631575714,6.148174675591739,48.74203889394567,True
500,3.5,1.2,5.0,0.0,CGI-3,0.03398848471039381,4.9270191483271155,140.03440500190615,False
500,3.5,1.2,5.0,0.0,CGI-4,0.0013112649897440228,2.9414662663722924,2240.2864772681437,False
500,3.5,1.2,10.0,0.0,CGI-1,0.8545882999558736,0.9066798547700023,0.1542752914879309,True
500,3.5,1.2,10.0,0.0,CGI-2,0.03057024095411428,1.5370436688979348,48.74203889394567,False
500,3.5,1.2,10.0,0.0,CGI-3,0.008719390326187642,1.2317547870817789,140.03440500190615,False
500,3.5,1.2,10.0,0.0,CGI-4,0.00032813895527887695,0.7353665665930731,2240.2864772681437,False
500,3.5,1.2,20.0,0.0,CGI-1,0.595019784627952,0.2266699636925006,0.1542752914879309,True
500,3.5,1.2,20.0,0.0,CGI-2,0.007821898223588822,0.3842609172244837,48.74203889394567,False
500,3.5,1.2,20.0,0.0,CGI-3,0.002194196624160756,0.3079386967704447,140.03440500190615,False
500,3.5,1.2,20.0,0.0,CGI-4,8.205493288468344e-05,0.18384164164826827,2240.2864772681437,False
500,4.0,1.0,5.0,0.0,CGI-1,0.9626745882287868,3.978975600252109,0.1542752914879309,True
500,4.0,1.0,5.0,0.0,CGI-2,0.11844221969817569,6.548765614929018,48.74203889394567,True
500,4.0,1.0,5.0,0.0,CGI-3,0.04082173640617672,5.959734270213104,140.03440500190615,False
500,4.0,1.0,5.0,0.0,CGI-4,0.0016683990883856296,3.743938299642921,2240.2864772681437,False
500,4.0,1.0,10.0,0.0,CGI-1,0.8657330594455185,0.9947439000630273,0.1542752914879309,True
500,4.0,1.0,10.0,0.0,CGI-2,0.032497348491799326,1.6371914037322546,48.74203889394567,False
500,4.0,1.0,10.0,0.0,CGI-3,0.010527755032199104,1.489933567553276,140.03440500190615,False
500,4.0,1.0,10.0,0.0,CGI-4,0.00041762234264823024,0.9359845749107303,2240.2864772681437,False
500,4.0,1.0,20.0,0.0,CGI-1,0.617146102337558,0.24868597501575682,0.1542752914879309,True
500,4.0,1.0,20.0,0.0,CGI-2,0.008327298463061841,0.40929785093306364,48.74203889394567,False
500,4.0,1.0,20.0,0.0,CGI-3,0.0026528854541924426,0.372483391888319,140.03440500190615,False
500,4.0,1.0,20.0,0.0,CGI-4,0.00010443829748690157,0.23399614372768257,2240.2864772681437,False
